Montant_de_la_commande,Quantite,Prix_Unité,Montant_Remise,Montant_Livraison,a_code_promo,canal_vente,Type_client,ville_client,prix_catalogue,En_Promo,canal_produit,Categorie,Type_Vente,Type_paiement,Annee,Mois,Trimestre,Semestre,est_saison_haute,remise_pct,ratio_prix_catalogue
26.89,1,26.89,0.0,7.0,1,B2C,Particulier,Ben Arous,26.89,False,Site Web,ARTICLES EN CUIVRE,Site_Web,PAYMEE,2023,7,Trimestre 3,Semestre 2,1,0.0,1.0
47.9,1,47.9,0.0,7.0,1,B2C,Particulier,Ben Arous,47.9,False,Site Web,LINGE DE MAISON,Site_Web,CASH ON DELIVERY,2023,7,Trimestre 3,Semestre 2,1,0.0,1.0
126.05,1,126.05,0.0,7.0,1,B2C,Particulier,Sidi Bou Zid,126.05,False,Site Web,TOTE BAGS,Site_Web,CASH ON DELIVERY,2023,7,Trimestre 3,Semestre 2,1,0.0,1.0
6050.42,200,30.25,0.0,0.0,1,B2C,Particulier,Tataouine,30.25,False,Site Web,DÉCORATION INTÉRIEUR,Site_Web,PAY IN PERSON,2023,8,Trimestre 3,Semestre 2,1,0.0,1.0
42.02,1,42.02,0.0,0.0,1,B2C,Particulier,Sidi Bou Zid,42.02,False,Site Web,CARAFES ET BOUTEILLES,Site_Web,PAYMEE,2023,8,Trimestre 3,Semestre 2,1,0.0,1.0
63.87,4,15.97,0.0,0.0,1,B2C,Particulier,Tunis,19.0,False,Site Web,RANGEMENTS,Site_Web,PAY IN PERSON,2023,9,Trimestre 3,Semestre 2,0,0.0,0.8405263157894737
6386.56,1,113.45,0.0,0.0,1,B2C,Particulier,Ariana,113.45,False,Site Web,COFFRETS CADEAUX,Site_Web,PAY IN PERSON,2023,10,Trimestre 4,Semestre 2,0,0.0,1.0
6386.56,1,75.63,0.0,0.0,1,B2C,Particulier,Ariana,75.63,False,Site Web,COFFRETS CADEAUX,Site_Web,PAY IN PERSON,2023,10,Trimestre 4,Semestre 2,0,0.0,1.0
6386.56,125,49.58,0.0,0.0,1,B2C,Particulier,Ariana,49.58,False,Site Web,COFFRETS CADEAUX,Site_Web,PAY IN PERSON,2023,10,Trimestre 4,Semestre 2,0,0.0,1.0
19.0,1,19.0,0.0,0.0,1,B2C,Particulier,Ben Arous,19.0,False,Site Web,RANGEMENTS,Site_Web,PAY IN PERSON,2023,12,Trimestre 4,Semestre 2,1,0.0,1.0
30.0,1,30.0,0.0,0.0,1,B2C,Particulier,Sousse,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2023,12,Trimestre 4,Semestre 2,1,0.0,1.0
18.0,1,6.0,0.0,7.0,1,B2C,Particulier,Tunis,6.0,False,Site Web,LA TOUCHE DÉCO,Site_Web,PAY IN PERSON,2024,2,Trimestre 1,Semestre 1,0,0.0,1.0
18.0,1,6.0,0.0,7.0,1,B2C,Particulier,Tunis,6.0,False,Site Web,LA TOUCHE DÉCO,Site_Web,PAY IN PERSON,2024,2,Trimestre 1,Semestre 1,0,0.0,1.0
18.0,1,6.0,0.0,7.0,1,B2C,Particulier,Tunis,6.0,False,Site Web,LA TOUCHE DÉCO,Site_Web,PAY IN PERSON,2024,2,Trimestre 1,Semestre 1,0,0.0,1.0
34.0,2,17.0,0.0,7.0,1,B2C,Particulier,Tunis,17.0,False,Site Web,COFFRETS CADEAUX,Site_Web,PAY IN PERSON,2024,3,Trimestre 1,Semestre 1,0,0.0,1.0
30.0,1,30.0,0.0,7.0,1,B2C,Particulier,Tunis,30.0,False,Site Web,ART DE LA TABLE,Site_Web,PAY IN PERSON,2024,3,Trimestre 1,Semestre 1,0,0.0,1.0
29.0,1,17.0,0.0,7.0,1,B2C,Particulier,Ben Arous,17.0,False,Site Web,COFFRETS CADEAUX,Site_Web,PAY IN PERSON,2024,3,Trimestre 1,Semestre 1,0,0.0,1.0
29.0,1,12.0,0.0,7.0,1,B2C,Particulier,Ben Arous,12.0,False,Site Web,LA TOUCHE DÉCO,Site_Web,PAY IN PERSON,2024,3,Trimestre 1,Semestre 1,0,0.0,1.0
30.0,1,30.0,0.0,7.0,1,B2C,Particulier,Jendouba,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,3,Trimestre 1,Semestre 1,0,0.0,1.0
30.0,1,30.0,0.0,7.0,1,B2C,Particulier,Kairouan,30.0,False,Site Web,JEUX,Site_Web,PAY IN PERSON,2024,5,Trimestre 2,Semestre 1,0,0.0,1.0
